step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
20,CASH_OUT,216588.63,C1622297608,0.0,0.0,C1191371193,3122738.94,3339327.57,0.0,0.0
19,CASH_IN,80142.29,C1299411423,50263.0,130405.29,C1917023149,35685.06,0.0,0.0,0.0
19,TRANSFER,601090.7,C533036064,0.0,0.0,C304922395,667118.87,1268209.57,0.0,0.0
23,PAYMENT,21656.59,C1638304499,0.0,0.0,M2066068061,0.0,0.0,0.0,0.0
14,CASH_IN,6671.6,C1405250902,6294152.86,6300824.46,C971741108,71999.61,65328.01,0.0,0.0
12,PAYMENT,10978.35,C1840266452,0.0,0.0,M1630814173,0.0,0.0,0.0,0.0
12,PAYMENT,26910.11,C1517133448,797349.76,770439.64,M1320591670,0.0,0.0,0.0,0.0
13,PAYMENT,6589.25,C1589327264,0.0,0.0,M1498876671,0.0,0.0,0.0,0.0
15,PAYMENT,1176.24,C1927942945,2091.71,915.47,M986935675,0.0,0.0,0.0,0.0
8,PAYMENT,1420.45,C1787907355,45015.72,43595.27,M997522561,0.0,0.0,0.0,0.0
16,PAYMENT,28927.86,C517984450,0.0,0.0,M1649428489,0.0,0.0,0.0,0.0
12,CASH_OUT,218820.21,C1193335378,38974.0,0.0,C563567188,1240119.96,931498.85,0.0,0.0
10,CASH_OUT,218118.77,C1306457807,0.0,0.0,C512684853,593974.0,641626.92,0.0,0.0
9,CASH_OUT,73260.07,C1679593651,1066.0,0.0,C459971513,0.0,454454.05,0.0,0.0
11,PAYMENT,27088.51,C681830633,9348.62,0.0,M1461423851,0.0,0.0,0.0,0.0
34,TRANSFER,480804.16,C909046449,0.0,0.0,C619990320,3409141.11,3889945.27,0.0,0.0
8,CASH_OUT,60308.47,C50822885,4778.97,0.0,C1185298063,99959.0,300574.46,0.0,0.0
18,CASH_OUT,56764.15,C1125693592,49948.0,0.0,C1382717704,1051114.15,1107878.31,0.0,0.0
21,PAYMENT,18807.97,C1104143958,272202.9,253394.93,M9378351,0.0,0.0,0.0,0.0
21,CASH_IN,195818.97,C1032136988,6221921.45,6417740.42,C816533208,819031.24,888134.35,0.0,0.0
13,TRANSFER,543167.07,C443807388,0.0,0.0,C597190999,3110597.91,3653764.99,0.0,0.0
12,CASH_OUT,191599.56,C1887640643,0.0,0.0,C1777514018,1030871.43,1225388.66,0.0,0.0
16,CASH_IN,213503.85,C1453665255,189198.0,402701.85,C1913476199,32116.0,0.0,0.0,0.0
20,CASH_OUT,19827.22,C860496630,0.0,0.0,C1148448357,288146.58,443808.8,0.0,0.0
6,PAYMENT,8802.64,C1818827263,281947.73,273145.1,M1575171535,0.0,0.0,0.0,0.0
11,CASH_OUT,332347.92,C1803268614,102707.0,0.0,C1315935384,543397.3,1213812.48,0.0,0.0
11,CASH_OUT,415182.47,C51652386,101.0,0.0,C1357155606,61282.0,476464.47,0.0,0.0
9,CASH_IN,143791.64,C1618614943,5385201.87,5528993.51,C519458373,600528.95,383270.98,0.0,0.0
12,PAYMENT,9046.17,C2133118394,434408.6,425362.43,M1233441449,0.0,0.0,0.0,0.0
33,PAYMENT,13249.37,C895996364,14516.0,1266.63,M551975611,0.0,0.0,0.0,0.0
34,CASH_OUT,187206.79,C357004997,5033.0,0.0,C413905970,190301.88,180100.98,0.0,0.0
21,PAYMENT,7863.96,C1538271988,29339.0,21475.04,M851784451,0.0,0.0,0.0,0.0
10,CASH_OUT,444865.78,C2052777651,0.0,0.0,C1900645000,2887276.19,2883074.49,0.0,0.0
14,CASH_IN,25139.11,C1162881333,83121.0,108260.11,C756745373,937.0,0.0,0.0,0.0
18,PAYMENT,12741.15,C1462939302,0.0,0.0,M1475107281,0.0,0.0,0.0,0.0
20,CASH_OUT,204741.23,C1546035052,0.0,0.0,C598568625,344793.67,549534.9,0.0,0.0
20,PAYMENT,5280.98,C1464383324,127918.65,122637.67,M491304685,0.0,0.0,0.0,0.0
15,CASH_OUT,245139.17,C2122930796,49954.0,0.0,C1918600708,394487.15,713242.35,0.0,0.0
19,CASH_OUT,61749.79,C1822793051,453301.0,391551.21,C1206007132,0.0,61749.79,0.0,0.0
19,PAYMENT,5704.45,C1149203204,0.0,0.0,M2056753902,0.0,0.0,0.0,0.0
19,CASH_IN,100889.03,C655949311,1129.0,102018.03,C1287050266,28769.62,0.0,0.0,0.0
16,CASH_OUT,13023.97,C1296771767,41742.0,28718.03,C1601603072,2200441.73,2771316.29,0.0,0.0
19,CASH_IN,414699.77,C1730178767,4939631.17,5354330.94,C1019350585,487577.88,72878.11,0.0,0.0
15,CASH_OUT,15301.51,C228222329,0.0,0.0,C2073005541,1285753.56,1301055.07,0.0,0.0
18,CASH_OUT,143879.86,C43742327,21351.0,0.0,C1011327941,258762.48,488664.14,0.0,0.0
15,CASH_OUT,141501.98,C682395852,544.0,0.0,C547455351,0.0,141501.98,0.0,0.0
15,PAYMENT,762.36,C2145511517,0.0,0.0,M614453196,0.0,0.0,0.0,0.0
15,CASH_OUT,64622.51,C898525942,103176.0,38553.49,C1126553623,1296430.03,1361052.54,0.0,0.0
13,CASH_IN,162944.9,C984858478,21111991.65,21274936.54,C508433499,6275358.52,6112413.62,0.0,0.0
13,TRANSFER,1401971.85,C1768761187,22322.0,0.0,C1830873179,0.0,1857840.54,0.0,0.0
10,PAYMENT,12386.56,C918532379,10057.0,0.0,M1146364756,0.0,0.0,0.0,0.0
11,CASH_OUT,119242.27,C1044304304,0.0,0.0,C307841806,234779.37,201186.31,0.0,0.0
19,CASH_OUT,231149.76,C1921027598,5610.0,0.0,C124947437,213886.34,445036.1,0.0,0.0
15,CASH_OUT,224231.71,C778518871,333007.0,108775.29,C311662903,3096756.16,3320987.87,0.0,0.0
14,PAYMENT,8229.99,C944014897,569573.65,561343.66,M987506558,0.0,0.0,0.0,0.0
21,PAYMENT,26073.5,C1273114528,1042.0,0.0,M211786050,0.0,0.0,0.0,0.0
16,CASH_IN,99997.68,C1725780607,5853097.66,5953095.34,C1454355424,396281.39,370108.21,0.0,0.0
14,PAYMENT,2607.15,C1578398913,0.0,0.0,M886243209,0.0,0.0,0.0,0.0
33,CASH_OUT,145815.01,C1104688025,11272.0,0.0,C874868512,32141.88,86272.64,0.0,0.0
15,TRANSFER,486231.1,C309150377,19780.69,0.0,C1979563377,2617737.21,3279143.31,0.0,0.0
15,CASH_IN,147798.11,C896948875,1920390.18,2068188.29,C1267633230,643773.15,304974.11,0.0,0.0
17,TRANSFER,650730.98,C2132824595,49501.0,0.0,C66016182,166246.17,816977.15,0.0,0.0
14,CASH_OUT,193933.21,C1247470066,0.0,0.0,C437672147,981852.36,990791.2,0.0,0.0
11,PAYMENT,26594.34,C1414822351,102762.0,76167.66,M1765498451,0.0,0.0,0.0,0.0
33,CASH_IN,13340.48,C963803887,174671.0,188011.48,C829838910,0.0,0.0,0.0,0.0
18,CASH_OUT,368054.75,C1276796687,94294.0,0.0,C173559023,193496.94,770479.64,0.0,0.0
18,CASH_IN,167967.93,C137872025,3265503.87,3433471.8,C1427729426,228449.66,60481.74,0.0,0.0
33,PAYMENT,27904.78,C1122979545,81909.49,54004.71,M1660293649,0.0,0.0,0.0,0.0
14,PAYMENT,6911.8,C1003908849,0.0,0.0,M2068556901,0.0,0.0,0.0,0.0
34,CASH_IN,237919.86,C1197105786,13607.0,251526.86,C1265282538,18510.07,0.0,0.0,0.0
7,PAYMENT,22062.05,C1327369307,11210.65,0.0,M1075939594,0.0,0.0,0.0,0.0
14,CASH_OUT,160991.62,C544506165,3922.0,0.0,C989418117,284946.79,290978.38,0.0,0.0
12,PAYMENT,3894.57,C1480467110,0.0,0.0,M832064709,0.0,0.0,0.0,0.0
18,CASH_IN,60038.61,C95902098,6161357.73,6221396.35,C1545994922,137392.09,77353.47,0.0,0.0
20,PAYMENT,6523.71,C2007249116,237572.0,231048.29,M2035158492,0.0,0.0,0.0,0.0
11,CASH_IN,303102.77,C893413273,6528095.41,6831198.19,C1200245153,1480526.04,1767587.32,0.0,0.0
17,CASH_OUT,16887.51,C2092023029,0.0,0.0,C270587566,3973990.31,3980521.05,0.0,0.0
24,PAYMENT,11880.76,C176405025,20579.0,8698.24,M1356323579,0.0,0.0,0.0,0.0
33,PAYMENT,366.97,C1891383053,193191.97,192825.0,M1608180107,0.0,0.0,0.0,0.0
16,PAYMENT,20006.18,C1305665780,290429.38,270423.2,M1599873827,0.0,0.0,0.0,0.0
34,CASH_OUT,98985.2,C1035736500,10454.0,0.0,C1423780194,4122038.56,4221023.76,0.0,0.0
10,CASH_IN,59290.09,C1698711391,6420299.68,6479589.77,C416402555,548828.27,489538.18,0.0,0.0
13,CASH_OUT,174069.68,C490883208,0.0,0.0,C11609065,202308.0,0.0,0.0,0.0
16,TRANSFER,627684.75,C876851800,0.0,0.0,C1553217607,2748396.1,3965766.56,0.0,0.0
19,CASH_IN,156213.63,C1595053660,2064986.69,2221200.32,C847761155,949482.99,793269.37,0.0,0.0
20,CASH_OUT,180423.81,C238310538,1809.74,0.0,C1618490217,397659.6,578083.41,0.0,0.0
12,PAYMENT,9345.34,C874178035,52.0,0.0,M608151260,0.0,0.0,0.0,0.0
23,CASH_IN,24727.57,C575783889,9927184.28,9951911.85,C404992053,464765.56,440037.99,0.0,0.0
21,TRANSFER,137147.81,C283293831,0.0,0.0,C1112524442,463116.85,600264.66,0.0,0.0
16,CASH_IN,161907.37,C1007595474,9944.0,171851.37,C2071153285,213207.71,51300.34,0.0,0.0
17,PAYMENT,46684.1,C2093257639,113682.0,66997.9,M594239433,0.0,0.0,0.0,0.0
9,CASH_IN,121828.88,C1263008434,10967678.85,11089507.73,C842729010,10201058.68,11748702.31,0.0,0.0
15,CASH_IN,204782.93,C636715497,10152.0,214934.93,C232812328,7932033.32,7681596.66,0.0,0.0
19,CASH_IN,118398.46,C217961287,551398.98,669797.44,C2142478561,25542331.57,25383650.2,0.0,0.0
34,TRANSFER,625842.85,C1932540688,0.0,0.0,C454033547,1429338.03,2055180.88,0.0,0.0
34,CASH_OUT,5181.09,C1665613484,0.0,0.0,C569043506,55236.1,60417.19,0.0,0.0
13,PAYMENT,13062.3,C723241654,0.0,0.0,M1077365559,0.0,0.0,0.0,0.0
18,PAYMENT,21316.35,C191840377,0.0,0.0,M718588241,0.0,0.0,0.0,0.0
20,PAYMENT,16574.86,C1660888893,103886.46,87311.6,M2105217265,0.0,0.0,0.0,0.0
23,PAYMENT,5762.24,C72509378,1207.0,0.0,M113860900,0.0,0.0,0.0,0.0
22,CASH_OUT,97760.04,C1906436366,0.0,0.0,C643048077,700430.92,798190.96,0.0,0.0
21,CASH_IN,109959.63,C1659122750,72244.0,182203.63,C1799127357,4515339.08,4405379.45,0.0,0.0
11,CASH_OUT,186091.58,C314620554,0.0,0.0,C1374917762,212415.27,398506.85,0.0,0.0
33,PAYMENT,6078.81,C1619801470,0.0,0.0,M1476853231,0.0,0.0,0.0,0.0
8,CASH_IN,220264.34,C458331709,5992609.63,6212873.97,C715819458,706849.82,926737.45,0.0,0.0
34,CASH_IN,240035.81,C406101962,7167999.58,7408035.4,C399002528,514483.95,274448.14,0.0,0.0
18,CASH_OUT,157240.62,C907497055,74790.0,0.0,C533175000,230487.74,387728.36,0.0,0.0
14,CASH_OUT,71896.18,C1393844789,0.0,0.0,C829289095,1477221.42,1808025.75,0.0,0.0
14,CASH_OUT,129032.66,C1340817359,0.0,0.0,C2141828226,3682499.11,3664557.88,0.0,0.0
13,CASH_OUT,19248.74,C984661486,0.0,0.0,C389580320,208234.16,256011.59,0.0,0.0
17,PAYMENT,5909.34,C430381575,7848.79,1939.45,M1657227557,0.0,0.0,0.0,0.0
34,TRANSFER,76115.87,C922400826,0.0,0.0,C1720310838,518124.0,594239.87,0.0,0.0
16,PAYMENT,11032.51,C886187046,24001.96,12969.45,M335427580,0.0,0.0,0.0,0.0
18,PAYMENT,13606.92,C1913393783,0.0,0.0,M2015352126,0.0,0.0,0.0,0.0
15,PAYMENT,32298.86,C60929010,0.0,0.0,M725330550,0.0,0.0,0.0,0.0
19,PAYMENT,5891.28,C983912701,102791.75,96900.47,M1037527944,0.0,0.0,0.0,0.0
12,CASH_OUT,300271.9,C407175938,5210.0,0.0,C161574690,206723.47,330948.27,0.0,0.0
18,PAYMENT,12182.07,C1433652848,10882.0,0.0,M1712996724,0.0,0.0,0.0,0.0
16,CASH_IN,32309.14,C435757453,20842.0,53151.14,C1541401594,508.0,0.0,0.0,0.0
15,CASH_OUT,127280.82,C1312690860,416612.25,289331.43,C2057267258,997057.9,1124338.73,0.0,0.0
34,PAYMENT,13712.21,C1531423553,0.0,0.0,M15029390,0.0,0.0,0.0,0.0
11,PAYMENT,2982.76,C619415520,22481.93,19499.18,M716785038,0.0,0.0,0.0,0.0
7,PAYMENT,5718.38,C629745140,17420.63,11702.26,M1590360259,0.0,0.0,0.0,0.0
18,PAYMENT,11252.82,C1527432180,0.0,0.0,M98826693,0.0,0.0,0.0,0.0
9,CASH_OUT,218628.22,C680778032,15172.0,0.0,C936053020,56744.67,337984.44,0.0,0.0
15,CASH_OUT,43845.1,C668670788,245167.04,201321.93,C1515704208,17508373.6,17575464.37,0.0,0.0
18,CASH_IN,32911.37,C2068988083,161912.0,194823.37,C1043175826,0.0,0.0,0.0,0.0
34,CASH_OUT,95296.22,C2003129962,0.0,0.0,C1666121257,808936.6,904232.82,0.0,0.0
15,CASH_OUT,201754.66,C1757687579,0.0,0.0,C316919580,226604.23,428358.89,0.0,0.0
9,CASH_OUT,73903.38,C1633328465,51286.0,0.0,C1459692379,44470.68,118374.06,0.0,0.0
8,CASH_OUT,63216.18,C1240496622,0.0,0.0,C75629578,290379.23,707849.71,0.0,0.0
15,CASH_OUT,124879.76,C415542181,10484.0,0.0,C1754676559,916587.23,1041466.99,0.0,0.0
14,TRANSFER,643118.44,C852668434,0.0,0.0,C1761353343,8161535.41,8804653.86,0.0,0.0
11,PAYMENT,25903.57,C654202142,284893.85,258990.28,M2133955138,0.0,0.0,0.0,0.0
11,CASH_OUT,4117.58,C1021843015,0.0,0.0,C312302001,498797.16,327264.89,0.0,0.0
12,CASH_OUT,299776.13,C867082999,12527.0,0.0,C802157359,0.0,314649.76,0.0,0.0
13,CASH_IN,281793.86,C551201197,6019.0,287812.86,C1438192884,28158.19,0.0,0.0,0.0
20,CASH_OUT,237409.22,C691070913,673016.0,435606.78,C170168875,455838.41,693247.63,0.0,0.0
17,CASH_OUT,7686.77,C879948803,0.0,0.0,C2125606535,33871.92,41558.7,0.0,0.0
16,CASH_OUT,66959.56,C2052002993,0.0,0.0,C391532782,3103020.47,3169980.02,0.0,0.0
18,CASH_OUT,115655.03,C1427345191,2714.0,0.0,C775921648,42375.0,158030.03,0.0,0.0
14,PAYMENT,6630.38,C749540630,0.0,0.0,M1709629542,0.0,0.0,0.0,0.0
10,PAYMENT,24696.27,C250561591,392109.64,367413.37,M690108024,0.0,0.0,0.0,0.0
19,CASH_OUT,61107.0,C351412702,11337.0,0.0,C67702510,286217.15,397889.67,0.0,0.0
33,CASH_OUT,301831.84,C99737949,0.0,0.0,C946144514,309832.72,611664.56,0.0,0.0
20,CASH_OUT,8370.98,C1777629092,343428.79,335057.81,C543142690,1896074.86,1923085.85,0.0,0.0
11,PAYMENT,4478.01,C1659113234,114043.0,109564.99,M1373562336,0.0,0.0,0.0,0.0
19,CASH_IN,25335.02,C118593321,25270480.3,25295815.32,C1987383845,240101.13,214766.11,0.0,0.0
20,PAYMENT,11445.09,C2003148159,6137.0,0.0,M1767286246,0.0,0.0,0.0,0.0
20,CASH_IN,35829.23,C2068223339,102028.0,137857.23,C975722314,457254.77,421425.54,0.0,0.0
9,CASH_IN,266267.99,C2061325525,6404508.9,6670776.88,C1533936166,850305.08,214634.0,0.0,0.0
16,CASH_OUT,529047.92,C781203442,25971.0,0.0,C1260825459,51793.48,580841.4,0.0,0.0
34,CASH_OUT,59703.62,C1443280261,25178.0,0.0,C308244960,2621393.58,2681097.19,0.0,0.0
16,PAYMENT,14653.56,C736454120,247996.65,233343.09,M1612685764,0.0,0.0,0.0,0.0
14,TRANSFER,1065637.12,C1023614101,8154.0,0.0,C666934823,0.0,1065637.12,0.0,0.0
19,CASH_OUT,62948.47,C836861293,131553.67,68605.2,C1470011266,194223.51,229494.0,0.0,0.0
33,CASH_IN,13920.87,C368285641,52799.0,66719.87,C1333777098,0.0,0.0,0.0,0.0
11,PAYMENT,19450.76,C425828750,462609.17,443158.4,M55047303,0.0,0.0,0.0,0.0
11,CASH_OUT,560007.27,C260568857,25309.0,0.0,C1531765026,1771179.85,1530347.49,0.0,0.0
13,CASH_OUT,414740.11,C243238410,4221.0,0.0,C589951302,2161789.45,2901677.96,0.0,0.0
18,PAYMENT,9379.54,C442847456,25322.0,15942.46,M449201035,0.0,0.0,0.0,0.0
17,TRANSFER,86776.11,C1406012427,0.0,0.0,C814270414,1067840.4,1154616.51,0.0,0.0
20,PAYMENT,6288.42,C657661456,0.0,0.0,M1923726827,0.0,0.0,0.0,0.0
14,PAYMENT,10105.33,C157970321,4817.0,0.0,M1648844915,0.0,0.0,0.0,0.0
18,TRANSFER,821869.98,C1545797361,494378.46,0.0,C1823470083,2390772.49,3212642.47,0.0,0.0
11,TRANSFER,362641.41,C695377633,320.0,0.0,C1765444359,0.0,473869.83,0.0,0.0
14,PAYMENT,1677.63,C1921568014,1372166.56,1370488.93,M48304066,0.0,0.0,0.0,0.0
14,CASH_OUT,95921.64,C1974925648,0.0,0.0,C1432116446,504151.0,600072.64,0.0,0.0
1,CASH_IN,223565.38,C2046652309,4577193.8,4800759.18,C681979935,343264.42,176131.8,0.0,0.0
33,CASH_IN,221542.2,C869766380,209.0,221751.2,C230614320,218864.3,0.0,0.0,0.0
21,CASH_OUT,55325.62,C911612202,30271.0,0.0,C751010408,920938.96,976264.57,0.0,0.0
17,CASH_IN,177680.67,C1708953154,99514.0,277194.67,C1284086357,0.0,0.0,0.0,0.0
15,TRANSFER,1631859.78,C1201631485,0.0,0.0,C2035145536,8311491.56,9943351.34,0.0,0.0
17,CASH_IN,20769.17,C1516720115,18095241.56,18116010.73,C525901948,1390876.57,1396745.68,0.0,0.0
15,CASH_OUT,94027.14,C1398882733,244565.67,150538.54,C1810218953,194243.0,0.0,0.0,0.0
18,CASH_OUT,120811.64,C1496096941,231408.07,110596.44,C1834975821,84523.49,205335.13,0.0,0.0
12,PAYMENT,15193.94,C327766337,169424.0,154230.06,M1435840247,0.0,0.0,0.0,0.0
13,CASH_IN,95796.21,C1275637825,326375.54,422171.75,C938744679,0.0,0.0,0.0,0.0
14,CASH_OUT,129514.62,C1106256606,25371.0,0.0,C1690475847,0.0,94593.08,0.0,0.0
34,PAYMENT,6713.77,C1615327750,24494.69,17780.92,M2012727611,0.0,0.0,0.0,0.0
33,CASH_OUT,59600.17,C1395595695,31457.0,0.0,C178253131,433465.63,493065.8,0.0,0.0
21,TRANSFER,656664.64,C161355601,0.0,0.0,C1025530795,2272860.83,2929525.47,0.0,0.0
18,CASH_OUT,279439.69,C2123022875,230075.0,0.0,C411750617,0.0,475713.4,0.0,0.0
33,PAYMENT,23143.88,C1783165898,0.0,0.0,M1992422888,0.0,0.0,0.0,0.0
17,CASH_OUT,155058.53,C981560228,0.0,0.0,C1190335873,1108285.91,1263344.44,0.0,0.0
18,CASH_OUT,152125.49,C674357380,0.0,0.0,C1067576673,623569.3,1224248.75,0.0,0.0
10,PAYMENT,31825.06,C1886547558,406336.96,374511.9,M1945034345,0.0,0.0,0.0,0.0
8,CASH_OUT,22396.59,C2060092769,51780.0,29383.41,C1583408697,182694.52,638228.31,0.0,0.0
9,CASH_IN,25978.52,C21935483,41529.0,67507.52,C1912576789,106066.87,4016146.2,0.0,0.0
20,CASH_OUT,124386.7,C229345647,0.0,0.0,C1083694367,2204501.34,2651764.21,0.0,0.0
34,CASH_OUT,3646.79,C166899588,0.0,0.0,C1511408724,591224.98,594871.78,0.0,0.0
24,PAYMENT,671.11,C2096897731,21508.0,20836.89,M371421955,0.0,0.0,0.0,0.0
20,CASH_IN,68043.42,C1542826034,184796.45,252839.87,C2027609909,1126555.6,1017365.46,0.0,0.0
13,PAYMENT,3134.4,C1536306002,30677.0,27542.6,M770688777,0.0,0.0,0.0,0.0
18,CASH_OUT,173100.12,C2086763374,0.0,0.0,C730548402,471369.45,644469.57,0.0,0.0
8,CASH_IN,141909.34,C1522323671,21900.0,163809.34,C577924039,3489.41,0.0,0.0,0.0
12,CASH_OUT,379275.45,C1409502338,22005.0,0.0,C1260303395,166991.39,546266.84,0.0,0.0
8,CASH_OUT,208079.59,C1274791290,16570.54,0.0,C1436838899,325901.29,0.0,0.0,0.0
18,PAYMENT,10384.96,C398250097,48946.0,38561.04,M444410403,0.0,0.0,0.0,0.0
14,CASH_OUT,419394.8,C620241629,31583.26,0.0,C751720613,1753922.85,2710789.49,0.0,0.0
13,CASH_OUT,381.22,C521568206,133947.0,133565.78,C2066201691,33777.09,34158.31,0.0,0.0
11,CASH_IN,293112.5,C1728853697,2878554.32,3171666.82,C290290064,12466234.98,14303287.92,0.0,0.0
19,CASH_OUT,26036.89,C623728527,10334.0,0.0,C1627550819,19155.0,35649.06,0.0,0.0
